author_id|post_id|comment_id|reply_id|content|article_type|published_time|id
100017913525103|641700736437038|||duy nhất một ô đất đẹp giá rẻ 72m ,Liên Béo bán nốt 300 triệu miễn trả giá kể cả đầu tư hay tiêu dùng !tại Hà Lầm khu đập Nc Lh 0964629191|fb_user_post|2020/07/03 12:38:04|4.722679702346639e+18
100045889684267|173792914160364|||"Kẹo cao su hả 😑
Niềm đam mê nhỏ bé bất tận của em 🍫🍬
#emđói"|fb_user_post|2020/07/03 18:54:48|1.5355655571885445e+18
107684524180500|153486506266968|||📌 ADIDAS EQT BASK ADV ĐEN 📢 Hàng sẵn số lượng lớn nhé anh chị em 🔺Full size: Nam: 40-44 🗂 Phân loại hàng: SF 💰Giá chỉ: #299k. 📭 SHIP CODE TRÊN TOÀN QUỐC QUA Viettel Post 📨 ĐƯỢC KIỂM TRA TRƯỚC KHI THANH TOÁN 📦 HỖ TRỢ ĐỔI SIZE TRONG 6 TIẾNG SAU KHI NHẬN HÀNG 💌 Nhanh tay chọn cho mình một đôi giày phù hợp nào! 🏠 Shop Giày Online 37 - Thái Bảo, Nam Sơn, Tp. Bắc Ninh 📞 0989.600.219 (có zalo) Shop Giày Online 37 luôn đảm bảo chất lượng và cam kết giá tốt nhất đến với mỗi khách hàng Nhận ship COD trên toàn quốc Nhận sỉ sll từ 5 sản phẩm ———————— Shop Giày Onlne 37 liên tục cập nhật mẫu mã, giá cả và các chương trình trên fb Lò Văn Đông, Đông Ninh, 소호반동, Fanpage Shop sỉ Online 37 và Account Zalo: Shop Giày Online 37. Chúng tôi liên tục tuyển CTV và đại lý bán hàng trên toàn quốc. ——————————— Shop Giày Online 37 Luôn đồng hành trên con đường thành công của bạn. #Adidas #EQT #AdidasEQT #EQTBask #Bask|fb_page_post|2020/07/03 21:50:47|8.057319916996077e+18
100004404698241|1677513382405469|||"Bộ đũi chun eo
Vải đũi xước quảng châu mềm mát
Tay bồng chun eo y mẫu, bán shop ok"|fb_user_post|2020/07/03 08:00:06|8.234742379942939e+18
100023784007652|1625761130917058|||Cần bán gấp căn hộ jamila khang điền q9 ♦️Nhà mới chưa ở, đã có sổ ♦️ giá 2.6 tỷ, bao thuế phí ♦️ đã đóng phí quản lí 12 tháng ♦️ do chủ cần bán gấp nên giá rẻ nhất khu vực r. ♦️2pn, 2wc Lh 0336244433 Như để hỗ trợ xem nhà|fb_group_post|2020/07/03 23:05:04|3.107363186837409e+18
100000846194575|3491600740858674|3491600740858674_3491604777524937||Nhưng now thì 1 triệu đăng kí mới. Goviet phải máy in bill đủ mới dc đăng kí|fb_user_comment|2020/07/03 20:57:27|5.213378648175012e+18
100028470010806|411127449846252|||Nè mấy em có giỏi thì vô đây cắt cái quần của sp nữa đi nha nha nha|fb_user_post|2020/07/03 17:06:24|1.352101242882786e+18
100024916729857|718787542295130|||"Tùngg Liênn bát mì huyền thoại 🥴🥴🤣
Con trai thời nay đảm đang hơn nhiều😌"|fb_user_post|2020/07/03 16:33:08|5.008854231925109e+18
100010265618044|1163690283983148|||Khách nao gửi hô sơ phía vn gửi xong nhớ báo e 1 tiếng nhe . Khách nhiều k nhớ Lltp va bảo hiểm cha me tuần sau lai gửi sang|fb_user_post|2020/07/03 20:08:44|7.308209747972262e+18
100052391960711|583843332551549|583843332551549_584193745849841||Trông ảnh đẹp như này thì dù có chung thân 10 kiếp tôi cũng chịu .|fb_group_comment|2020/07/03 07:09:30|8.850491519567564e+17
